江西本地,#genre#
经典校园,http://dl.zhoujie218.top/dl/youku.php?id=8018659
警匪电影,http://dl.zhoujie218.top/dl/youku.php?id=8019691
酷影厅,http://dl.zhoujie218.top/dl/youku.php?id=8032841
黎明,http://dl.zhoujie218.top/dl/youku.php?id=8028239
刘德华,http://dl.zhoujie218.top/dl/youku.php?id=8018618
末世硬核,http://dl.zhoujie218.top/dl/youku.php?id=8019690
如果可以这样爱,http://dl.zhoujie218.top/dl/youku.php?id=8019192
绍兴影视台,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
神乐华语-斗鱼,https://tx2play1.douyucdn.cn/live/85894rmovieChow_900p.xs?uuid=web-h5-0-85894-a3575d938a4aa3091c09ccbd5c24bf146a02074c80cec221
四川影视,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
四川影视HD,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
四川影视台,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
宋慧乔,http://dl.zhoujie218.top/dl/youku.php?id=8020223
西安影视台,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
香港经典,http://dl.zhoujie218.top/dl/youku.php?id=8019324
玄幻影院,https://tx.liveplay.live.kugou.com/live/fx_hifi_1308614369_avc.m3u8
一站到底,http://dl.zhoujie218.top/dl/youku.php?id=8019585
粤语片,http://dl.zhoujie218.top/dl/youku.php?id=8019006
张国荣,http://dl.zhoujie218.top/dl/youku.php?id=8019325
张学友,http://dl.zhoujie218.top/dl/youku.php?id=8027929
浙江影视台,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
周润发,http://dl.zhoujie218.top/dl/youku.php?id=8021907
周润发,http://dl.zhoujie218.top/dl/youku.php?id=8019007
周星驰,http://dl.zhoujie218.top/dl/youku.php?id=8021901
周润发影院,http://dl.zhoujie218.top/dl/gdtv2.php?migu/639526984
喜剧联盟,http://dl.zhoujie218.top/dl/gdtv2.php?migu/637444830
僵尸剧场,http://dl.zhoujie218.top/dl/gdtv2.php?migu/627033504
神探狄仁杰,http://dl.zhoujie218.top/dl/gdtv2.php?migu/625574493
红色谍战剧场,http://dl.zhoujie218.top/dl/gdtv2.php?migu/634274665
经典贺岁片,http://dl.zhoujie218.top/dl/gdtv2.php?migu/625774662
追剧少女,http://dl.zhoujie218.top/dl/gdtv2.php?migu/617432318
爱情公寓,http://dl.zhoujie218.top/dl/gdtv2.php?migu/625681367
新片放映厅,http://dl.zhoujie218.top/dl/gdtv2.php?migu/619495952
影视1蓝光,http://39.134.66.66/PLTV/88888888/224/3221225521/index.m3u8
經典功夫,http://103.140.229.13/BOBO/bibi.php?id=21715386
MIGU懷舊老片,http://117.148.179.146/PLTV/88888888/224/3221231513/index.m3u8
MIGU午夜失眠劇場,http://117.148.179.141/PLTV/88888888/224/3221231516/index.m3u8
MIGU殭屍劇場,http://117.148.179.165/PLTV/88888888/224/3221231742/index.m3u8
MIGUTVB劇場,http://117.148.179.157/PLTV/88888888/224/3221231733/index.m3u8
MIGU金庸频道,http://117.148.179.132/PLTV/88888888/224/3221231477/index.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
经典影院,https://tx.liveplay.live.kugou.com/live/fx_hifi_251702616_avc.m3u8
VIP电影,https://tx.liveplay.live.kugou.com/live/fx_hifi_1319986999_avc.flv
经典小品720p,http://117.148.179.163/PLTV/88888888/224/3221231570/index.m3u8
港片国语720p,http://117.148.179.163/PLTV/88888888/224/3221231742/index.m3u8
香港鬼片,http://cn-sdjn3-cu-live-01.bilivideo.com/live-bvc/874778/live_22989278_9714011_1500.m3u8
周润发影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639526984
周润发影院,http://117.148.179.177/PLTV/88888888/224/3221231709/index.m3u8
古龙作品集,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528313
周星驰影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/623338112
周星驰影院,http://117.148.179.153/PLTV/88888888/224/3221231562/index.m3u8
郭富城影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528330
林正英电影,https://3954-quic.liveplay.myqcloud.com/live/3954_363783415.flv
1905电影网,http://106.53.212.251/daili/bili.php?id=22728767
电影1,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8
电影2,http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8
电影5,http://hpull.kktv8.com/livekktv/143960119/playlist.m3u8
超级电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225623/index.m3u8
超级电视剧,http://39.135.138.59:18890/PLTV/88888910/224/3221225625/index.m3u8
超级综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225768/index.m3u8
超级体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225767/index.m3u8
BesTV华语影院,rtsp://183.252.166.199/PLTV/88888888/224/3221226757/45949783.smil
BesTV欧美影院,rtsp://183.252.166.199/PLTV/88888888/224/3221226748/45950069.smil
BesTV剧院,rtsp://183.252.166.199/PLTV/88888888/224/3221226761/45973212.smil
K K_女神影院,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
《精选影视轮》轮播,http://106.53.212.251/daili/bili.php?id=23424971
斗鱼电影1,http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv
斗鱼电影2,http://dyscdnali1.douyucdn.cn/live/122402rK7MO9bXSq.flv
斗鱼电影3,http://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv
斗鱼电影5,http://dyscdnali1.douyucdn.cn/live/3637726rQLDdfto7.flv
斗鱼电影6,http://dyscdnali1.douyucdn.cn/live/3928r9p0BHMDG.flv
斗鱼电影7,http://dyscdnali1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv
酷狗小品2,http://tx.liveplay.live.fanxing.com/live/fx_hifi_1548332035_avc.m3u8
红色谍战剧场,http://117.148.179.169/PLTV/88888888/224/3221231627/index.m3u8
黄金剧场,http://117.148.179.183/PLTV/88888888/224/3221231637/index.m3u8
追剧少女,http://117.148.179.179/PLTV/88888888/224/3221231643/index.m3u8
